k_user k_attacker P_success_max thresholds_opt FARs_opt FRRs_opt product_FRR_user product_1_minus_FAR_attacker P_user_success P_attacker_rejected P_attacker_success mean_user_attempts_given_success
6 4 0.9999998115 29.950022,29.950022,29.950022,29.950020,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000 0.5915737785,0.5915737785,0.5915737785,0.5915737627,0.0012404561,0.0012404561 0.0000001885 1.0000000000 0.9999998115 1.0000000000 0.0000000000 2.2711830899
7 4 0.9999999998 29.973075,29.951500,29.959183,29.954417,1.250000,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5918006405,0.5915883210,0.5916639279,0.5916170327,0.0012404561,0.0012404561,0.0012404561 0.0000000002 1.0000000000 0.9999999998 1.0000000000 0.0000000000 2.2717474077
8 4 1.0000000000 29.965913,29.965913,29.965913,29.965905,1.250000,1.250000,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5917301587,0.5917301587,0.5917301590,0.5917300834,0.0012404561,0.0012404561,0.0012404561,0.0012404561 0.0000000000 1.0000000000 1.0000000000 1.0000000000 0.0000000000 2.2718193301
9 4 1.0000000000 30.093120,30.093120,30.093126,30.093126,1.250000,1.250000,1.250000,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5929748687,0.5929748687,0.5929749261,0.5929749254,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561 0.0000000000 1.0000000000 1.0000000000 1.0000000000 0.0000000000 2.2768850674
10 4 1.0000000000 30.562676,30.562676,30.562676,30.562676,1.250000,1.250000,1.250000,1.250000,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5973428133,0.5973428133,0.5973428124,0.5973428133,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561,0.0012404561 0.0000000000 1.0000000000 1.0000000000 1.0000000000 0.0000000000 2.2947817051
1 5 0.6093306371 11.898096,60.462010,69.796159,36.542085,63.254188 0.1661759892,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.2692335202,0.9172402362,0.9675718533,0.6592852447,0.9391273842 0.2692335202 0.8338240108 0.7307664798 0.8338240108 0.1661759892 1.0000000000
2 5 0.7719910760 18.050000,18.050000,44.726124,55.224834,45.495155 0.0303914325,0.0303914309,0.0000000000,0.0000000000,0.0000000000 0.4229135518,0.4229135549,0.7600744975,0.8816585074,0.7703789546 0.1788558736 0.9401407757 0.8211441264 0.9401407757 0.0598592243 1.2972166156
3 5 0.8621777858 20.550000,20.550000,20.550000,49.455738,55.882603 0.0114608000,0.0114608019,0.0114608017,0.0000000000,0.0000000000 0.4754633113,0.4754633037,0.4754633048,0.8167273460,0.8876119695 0.1074857816 0.9660101409 0.8925142184 0.9660101409 0.0339898591 1.5451533374
4 5 0.9135716039 22.250000,22.250000,22.250000,22.250000,29.967627 0.0053551339,0.0053551339,0.0053551334,0.0053551334,0.0000000000 0.5079949525,0.5079949525,0.5079949562,0.5079949560,0.5917470261 0.0665943822 0.9787509166 0.9334056178 0.9787509166 0.0212490834 1.7471170835
5 5 0.9436796884 23.350000,23.350000,23.350000,23.350000,23.350000 0.0033882678,0.0033882678,0.0033882678,0.0033882678,0.0033882678 0.5257495178,0.5257495178,0.5257495178,0.5257495178,0.5257495178 0.0401693140 0.9831730764 0.9598306860 0.9831730764 0.0168269236 1.8993382879
6 5 0.9999122582 29.550022,29.550022,29.550022,29.550031,29.550031,1.250000 0.0000001885,0.0000001885,0.0000001885,0.0000001884,0.0000001884,1.0000000000 0.5874720656,0.5874720656,0.5874720656,0.5874721607,0.5874721610,0.0012404561 0.0000867996 0.9999990577 0.9999132004 0.9999990577 0.0000009423 2.3241109269
7 5 0.9999998885 29.950001,29.950001,29.950001,29.950001,29.950001,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000 0.5915735690,0.5915735690,0.5915735741,0.5915735692,0.5915735690,0.0012404561,0.0012404561 0.0000001115 1.0000000000 0.9999998885 1.0000000000 0.0000000000 2.3435712849
8 5 0.9999999999 29.952677,29.952677,29.952680,29.952674,29.952675,1.250000,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5915999030,0.5915999030,0.5915999342,0.5915998801,0.5915998905,0.0012404561,0.0012404561,0.0012404561 0.0000000001 1.0000000000 0.9999999999 1.0000000000 0.0000000000 2.3436950200
