T FAR_uniform FRR_uniform FAR_quadratic FRR_quadratic
16.800000 0.434545 0.159487 0.000025 0.220477
16.900000 0.430909 0.160513 0.000000 0.221553
17.000000 0.427273 0.161538 0.000000 0.222630
17.100000 0.423636 0.162564 0.000000 0.223709
17.200000 0.420000 0.163590 0.000000 0.224790
17.300000 0.416364 0.164615 0.000000 0.225873
17.400000 0.412727 0.165641 0.000000 0.226957
17.500000 0.409091 0.166667 0.000000 0.228043
17.600000 0.405455 0.167692 0.000000 0.229130
17.700000 0.401818 0.168718 0.000000 0.230219
17.800000 0.398182 0.169744 0.000000 0.231310
17.900000 0.394545 0.170769 0.000000 0.232402
18.000000 0.390909 0.171795 0.000000 0.233496
18.100000 0.387273 0.172821 0.000000 0.234592
18.200000 0.383636 0.173846 0.000000 0.235689
18.300000 0.380000 0.174872 0.000000 0.236787
18.400000 0.376364 0.175897 0.000000 0.237888
18.500000 0.372727 0.176923 0.000000 0.238990
18.600000 0.369091 0.177949 0.000000 0.240093
18.700000 0.365455 0.178974 0.000000 0.241198
18.800000 0.361818 0.180000 0.000000 0.242305
18.900000 0.358182 0.181026 0.000000 0.243413
19.000000 0.354545 0.182051 0.000000 0.244522
19.100000 0.350909 0.183077 0.000000 0.245634
19.200000 0.347273 0.184103 0.000000 0.246746
19.300000 0.343636 0.185128 0.000000 0.247860
19.400000 0.340000 0.186154 0.000000 0.248976
19.500000 0.336364 0.187179 0.000000 0.250093
19.600000 0.332727 0.188205 0.000000 0.251212
19.700000 0.329091 0.189231 0.000000 0.252332
19.800000 0.325455 0.190256 0.000000 0.253454
19.900000 0.321818 0.191282 0.000000 0.254577
20.000000 0.318182 0.192308 0.000000 0.255702
20.100000 0.314545 0.193333 0.000000 0.256828
20.200000 0.310909 0.194359 0.000000 0.257956
20.300000 0.307273 0.195385 0.000000 0.259085
20.400000 0.303636 0.196410 0.000000 0.260215
20.500000 0.300000 0.197436 0.000000 0.261347
20.600000 0.296364 0.198462 0.000000 0.262480
20.700000 0.292727 0.199487 0.000000 0.263615
20.800000 0.289091 0.200513 0.000000 0.264751
20.900000 0.285455 0.201538 0.000000 0.265888
21.000000 0.281818 0.202564 0.000000 0.267027
21.100000 0.278182 0.203590 0.000000 0.268168
21.200000 0.274545 0.204615 0.000000 0.269309
21.300000 0.270909 0.205641 0.000000 0.270452
21.400000 0.267273 0.206667 0.000000 0.271597
21.500000 0.263636 0.207692 0.000000 0.272743
21.600000 0.260000 0.208718 0.000000 0.273890
21.700000 0.256364 0.209744 0.000000 0.275038
21.800000 0.252727 0.210769 0.000000 0.276188
21.900000 0.249091 0.211795 0.000000 0.277339
22.000000 0.245455 0.212821 0.000000 0.278491
22.100000 0.241818 0.213846 0.000000 0.279645
22.200000 0.238182 0.214872 0.000000 0.280800
22.300000 0.234545 0.215897 0.000000 0.281957
22.400000 0.230909 0.216923 0.000000 0.283114
22.500000 0.227273 0.217949 0.000000 0.284273
22.600000 0.223636 0.218974 0.000000 0.285433
22.700000 0.220000 0.220000 0.000000 0.286595
22.800000 0.216364 0.221026 0.000000 0.287758
22.900000 0.212727 0.222051 0.000000 0.288922
23.000000 0.209091 0.223077 0.000000 0.290087
23.100000 0.205455 0.224103 0.000000 0.291253
23.200000 0.201818 0.225128 0.000000 0.292421
23.300000 0.198182 0.226154 0.000000 0.293590
23.400000 0.194545 0.227179 0.000000 0.294760
23.500000 0.190909 0.228205 0.000000 0.295932
23.600000 0.187273 0.229231 0.000000 0.297104
23.700000 0.183636 0.230256 0.000000 0.298278
23.800000 0.180000 0.231282 0.000000 0.299453
23.900000 0.176364 0.232308 0.000000 0.300629
24.000000 0.172727 0.233333 0.000000 0.301806
24.100000 0.169091 0.234359 0.000000 0.302985
24.200000 0.165455 0.235385 0.000000 0.304164
24.300000 0.161818 0.236410 0.000000 0.305345
24.400000 0.158182 0.237436 0.000000 0.306527
24.500000 0.154545 0.238462 0.000000 0.307710
24.600000 0.150909 0.239487 0.000000 0.308895
24.700000 0.147273 0.240513 0.000000 0.310080
24.800000 0.143636 0.241538 0.000000 0.311266
24.900000 0.140000 0.242564 0.000000 0.312454
25.000000 0.136364 0.243590 0.000000 0.313643
