family,P_safe,P_leak,P_loss,P_theft,max_AND,max_OR,eer_AND,eer_OR,best_kind,best_max,eer_of_maximal_config,best_threshold,failure_improvement_ratio
decrease_loss,0.6,0.05,0.3,0.05,0.6023133533872338,0.7505270246888592,0.49719450169815194,0.6485897922271351,OR,0.7505270246888592,0.6485897922271351,18.950000000000017,0.29008045357524614
decrease_loss,0.61,0.05,0.29,0.05,0.6121267878313501,0.7548668031918959,0.5049764257580245,0.6503159046658483,OR,0.7548668031918959,0.6503159046658483,19.050000000000015,0.2989867137827378
decrease_loss,0.62,0.05,0.28,0.05,0.6219407193769854,0.7592464648787379,0.512758349817897,0.6520420171045617,OR,0.7592464648787379,0.6520420171045617,19.250000000000014,0.30809595710983095
decrease_loss,0.63,0.05,0.27,0.05,0.6317561832491825,0.7636636328854126,0.5205402738777697,0.653768129543275,OR,0.7636636328854126,0.653768129543275,19.450000000000017,0.31740435447831855
decrease_loss,0.64,0.05,0.26,0.05,0.6415825193928749,0.7681215225272573,0.5283221979376423,0.6554942419819882,OR,0.7681215225272573,0.6554942419819882,19.550000000000015,0.3269242325388958
decrease_loss,0.65,0.05,0.25,0.05,0.6514088555365672,0.7726206918570871,0.5361041219975149,0.6572203544207014,OR,0.7726206918570871,0.6572203544207014,19.750000000000018,0.3366604141309466
decrease_loss,0.66,0.05,0.24,0.05,0.6612386341132563,0.7771576082843613,0.5438860460573876,0.6589464668594147,OR,0.7771576082843613,0.6589464668594147,19.950000000000017,0.3466058255910779
decrease_loss,0.67,0.05,0.23,0.05,0.6710773748181136,0.7817330202888971,0.5516679701172601,0.660672579298128,OR,0.7817330202888971,0.660672579298128,20.05000000000002,0.35676586566557217
decrease_loss,0.68,0.05,0.22,0.05,0.6809161155229708,0.7863471965003154,0.5594498941771326,0.6623986917368412,OR,0.7863471965003154,0.6623986917368412,20.250000000000018,0.36714462216140714
decrease_loss,0.69,0.05,0.21,0.05,0.6907600867180471,0.790995678342989,0.5672318182370052,0.6641248041755544,OR,0.790995678342989,0.6641248041755544,20.450000000000017,0.3777321926259394
decrease_loss,0.7,0.05,0.2,0.05,0.7006112319840692,0.7956824557002137,0.5750137422968777,0.6658509166142677,OR,0.7956824557002137,0.6658509166142677,20.55000000000002,0.388543753496017
decrease_loss,0.71,0.05,0.19,0.05,0.7104623772500912,0.8004024724812543,0.5827956663567504,0.6675770290529809,OR,0.8004024724812543,0.6675770290529809,20.750000000000018,0.39956758418311245
decrease_loss,0.72,0.05,0.18,0.05,0.7203204205009761,0.8051578592363088,0.5905775904166229,0.6693031414916942,OR,0.8051578592363088,0.6693031414916942,20.850000000000016,0.4108134511994538
decrease_loss,0.73,0.05,0.17,0.05,0.730183970328163,0.8099484911351897,0.5983595144764956,0.6710292539304075,OR,0.8099484911351897,0.6710292539304075,21.05000000000002,0.42228447016803866
decrease_loss,0.74,0.05,0.16,0.05,0.7400475201553499,0.8147750273329557,0.6061414385363683,0.6727553663691208,OR,0.8147750273329557,0.6727553663691208,21.250000000000018,0.43398621816371247
decrease_loss,0.75,0.05,0.15,0.05,0.7499195267556458,0.8196432371133534,0.6139233625962408,0.674481478807834,OR,0.8196432371133534,0.674481478807834,21.450000000000017,0.4459400889813728
decrease_loss,0.76,0.05,0.14,0.05,0.7597954811439975,0.8245586645829087,0.6217052866561134,0.6762075912465474,OR,0.8245586645829087,0.6762075912465474,21.65000000000002,0.4581672371736215
decrease_loss,0.77,0.05,0.13,0.05,0.7696714355323493,0.8295273709537777,0.6294872107159859,0.6779337036852605,OR,0.8295273709537777,0.6779337036852605,21.950000000000017,0.47069087639140045
decrease_loss,0.78,0.05,0.12,0.05,0.7795573290882014,0.8345474308885126,0.6372691347758586,0.6796598161239737,OR,0.8345474308885126,0.6796598161239737,22.250000000000018,0.48350978915739573
decrease_loss,0.79,0.05,0.11,0.05,0.789445688037718,0.8396161732531069,0.6450510588357311,0.6813859285626871,OR,0.8396161732531069,0.6813859285626871,22.450000000000017,0.49662039085913845
