score genuine_cdf impostor_cdf
0.4758430988 0.0000000000 0.1806818182
0.4794011548 0.0000000000 0.1818181818
0.4817411834 0.0000000000 0.1829545455
0.4884925903 0.0000000000 0.1840909091
0.4892180286 0.0000000000 0.1852272727
0.4935880768 0.0000000000 0.1863636364
0.4978511829 0.0000000000 0.1875000000
0.4989062022 0.0000000000 0.1886363636
0.5019977416 0.0000000000 0.1897727273
0.5036468255 0.0000000000 0.1909090909
0.5092413416 0.0000000000 0.1920454545
0.5124945507 0.0000000000 0.1931818182
0.5137692054 0.0000000000 0.1943181818
0.5291098382 0.0000000000 0.1954545455
0.5468499436 0.0000000000 0.1965909091
0.5566908494 0.0000000000 0.1977272727
0.5580930991 0.0000000000 0.1988636364
0.5611298429 0.0000000000 0.2000000000
0.5668249584 0.0000000000 0.2011363636
0.5711815518 0.0000000000 0.2022727273
0.5751455060 0.0000000000 0.2034090909
0.5788124079 0.0000000000 0.2045454545
0.5845483107 0.0000000000 0.2056818182
0.5945387733 0.0000000000 0.2068181818
0.6039772604 0.0000000000 0.2079545455
0.6071483321 0.0000000000 0.2090909091
0.6083416815 0.0000000000 0.2102272727
0.6115440925 0.0000000000 0.2113636364
0.6188065462 0.0000000000 0.2125000000
0.6229515382 0.0000000000 0.2136363636
0.6295859595 0.0000000000 0.2147727273
0.6314771818 0.0000000000 0.2159090909
0.6357976432 0.0000000000 0.2170454545
0.6362730801 0.0000000000 0.2181818182
0.6458623696 0.0000000000 0.2193181818
0.6462744118 0.0000000000 0.2204545455
0.6501609517 0.0000000000 0.2215909091
0.6514968742 0.0000000000 0.2227272727
0.6550035370 0.0000000000 0.2238636364
0.6668025274 0.0000000000 0.2250000000
0.6897037769 0.0020408163 0.2250000000
0.6930108603 0.0020408163 0.2261363636
0.6976730980 0.0020408163 0.2272727273
0.7009225324 0.0040816327 0.2272727273
0.7111252646 0.0040816327 0.2284090909
0.7147253228 0.0040816327 0.2295454545
0.7162379411 0.0040816327 0.2306818182
0.7163902142 0.0040816327 0.2318181818
0.7170528472 0.0040816327 0.2329545455
0.7191403137 0.0040816327 0.2340909091
0.7233036971 0.0040816327 0.2352272727
0.7246139061 0.0040816327 0.2363636364
0.7252606632 0.0040816327 0.2375000000
0.7385487525 0.0040816327 0.2386363636
0.7404937800 0.0040816327 0.2397727273
0.7440888518 0.0040816327 0.2409090909
0.7480220192 0.0040816327 0.2420454545
0.7498139694 0.0040816327 0.2431818182
0.7633976951 0.0040816327 0.2443181818
0.7676064319 0.0040816327 0.2454545455
0.7742180797 0.0040816327 0.2465909091
0.7792177611 0.0040816327 0.2477272727
0.7813199440 0.0040816327 0.2488636364
0.7850152318 0.0040816327 0.2500000000
0.7875973049 0.0040816327 0.2511363636
0.7955291570 0.0040816327 0.2522727273
0.7958378023 0.0040816327 0.2534090909
0.8001864148 0.0040816327 0.2545454545
0.8039074690 0.0040816327 0.2556818182
0.8046983538 0.0040816327 0.2568181818
0.8182466595 0.0040816327 0.2579545455
0.8225439809 0.0040816327 0.2590909091
0.8234718024 0.0040816327 0.2602272727
0.8365727478 0.0040816327 0.2613636364
0.8441975473 0.0040816327 0.2625000000
0.8519274341 0.0040816327 0.2636363636
0.8573872980 0.0040816327 0.2647727273
0.8578799176 0.0040816327 0.2659090909
0.8596903492 0.0040816327 0.2670454545
0.8597344028 0.0040816327 0.2681818182
0.8610961220 0.0040816327 0.2693181818
0.8625810160 0.0040816327 0.2704545455
0.8654183286 0.0040816327 0.2715909091
0.8654467541 0.0040816327 0.2727272727
0.8662003528 0.0040816327 0.2738636364
0.8663047557 0.0040816327 0.2750000000
0.8675420069 0.0040816327 0.2761363636
0.8675791772 0.0040816327 0.2772727273
0.8761639882 0.0040816327 0.2784090909
0.8781877275 0.0040816327 0.2795454545
0.8792954984 0.0040816327 0.2806818182
0.8798770423 0.0040816327 0.2818181818
0.8803404816 0.0040816327 0.2829545455
0.8930825091 0.0040816327 0.2840909091
0.8951342040 0.0040816327 0.2852272727
0.8963710102 0.0040816327 0.2863636364
0.8982673930 0.0040816327 0.2875000000
0.9164852962 0.0040816327 0.2886363636
0.9184602584 0.0040816327 0.2897727273
0.9294166815 0.0040816327 0.2909090909
0.9366798702 0.0040816327 0.2920454545
0.9419476468 0.0040816327 0.2931818182
0.9461819265 0.0040816327 0.2943181818
0.9553082901 0.0061224490 0.2943181818
0.9579981026 0.0061224490 0.2954545455
0.9588010607 0.0061224490 0.2965909091
0.9656595687 0.0061224490 0.2977272727
0.9694836572 0.0061224490 0.2988636364
0.9701726737 0.0061224490 0.3000000000
0.9749883927 0.0061224490 0.3011363636
0.9777470364 0.0061224490 0.3022727273
0.9814478789 0.0061224490 0.3034090909
0.9993550636 0.0061224490 0.3045454545
1.0042636534 0.0061224490 0.3056818182
1.0049561011 0.0061224490 0.3068181818
1.0064959678 0.0061224490 0.3079545455
1.0077459830 0.0061224490 0.3090909091
1.0096959824 0.0061224490 0.3102272727
1.0112301213 0.0061224490 0.3113636364
1.0138954314 0.0061224490 0.3125000000
1.0348507397 0.0081632653 0.3125000000
1.0410300670 0.0081632653 0.3136363636
1.0464082113 0.0081632653 0.3147727273
1.0629396181 0.0081632653 0.3159090909
1.0651029320 0.0102040816 0.3159090909
1.0651394228 0.0102040816 0.3170454545
1.0682988072 0.0102040816 0.3181818182
1.0715348824 0.0102040816 0.3193181818
1.0767666140 0.0102040816 0.3204545455
1.0849030849 0.0102040816 0.3215909091
1.0881035052 0.0102040816 0.3227272727
1.0934793180 0.0102040816 0.3238636364
1.1049710434 0.0102040816 0.3250000000
1.1068372942 0.0102040816 0.3261363636
1.1068942765 0.0102040816 0.3272727273
1.1084544499 0.0102040816 0.3284090909
1.1239397306 0.0102040816 0.3295454545
1.1254865946 0.0102040816 0.3306818182
1.1289082923 0.0102040816 0.3318181818
1.1292542373 0.0102040816 0.3329545455
1.1455385725 0.0102040816 0.3340909091
1.1465819780 0.0122448980 0.3340909091
1.1514611227 0.0122448980 0.3352272727
1.1529061844 0.0122448980 0.3363636364
1.1530571687 0.0122448980 0.3375000000
1.1534049834 0.0122448980 0.3386363636
1.1536382485 0.0122448980 0.3397727273
1.1566440746 0.0122448980 0.3409090909
1.1567430811 0.0122448980 0.3420454545
1.1568599546 0.0122448980 0.3431818182
1.1578080735 0.0122448980 0.3443181818
1.1658471614 0.0122448980 0.3454545455
1.1745941132 0.0122448980 0.3465909091
1.1862518960 0.0122448980 0.3477272727
1.1887467013 0.0122448980 0.3488636364
1.2181294533 0.0142857143 0.3488636364
1.2212941701 0.0142857143 0.3500000000
1.2291572661 0.0142857143 0.3511363636
1.2379786789 0.0142857143 0.3522727273
1.2385154659 0.0142857143 0.3534090909
1.2479967004 0.0142857143 0.3545454545
1.2529613333 0.0142857143 0.3556818182
1.2703637336 0.0142857143 0.3568181818
1.2772694709 0.0142857143 0.3579545455
1.2799023212 0.0163265306 0.3579545455
1.2823644969 0.0163265306 0.3590909091
1.2861843835 0.0163265306 0.3602272727
1.2990358593 0.0163265306 0.3613636364
1.3000780593 0.0163265306 0.3625000000
1.3050819952 0.0163265306 0.3636363636
1.3060764016 0.0163265306 0.3647727273
1.3163954569 0.0163265306 0.3659090909
1.3174972360 0.0163265306 0.3670454545
1.3395504587 0.0163265306 0.3681818182
1.3497132079 0.0163265306 0.3693181818
1.3506276277 0.0163265306 0.3704545455
1.3600598113 0.0163265306 0.3715909091
1.3692660815 0.0163265306 0.3727272727
1.3749240713 0.0163265306 0.3738636364
1.3780670472 0.0163265306 0.3750000000
1.3827866920 0.0183673469 0.3750000000
1.3850371521 0.0183673469 0.3761363636
1.3871079182 0.0183673469 0.3772727273
1.3894235413 0.0183673469 0.3784090909
1.3974155179 0.0183673469 0.3795454545
1.3994042292 0.0183673469 0.3806818182
1.4038884481 0.0183673469 0.3818181818
1.4052981176 0.0183673469 0.3829545455
1.4139488683 0.0183673469 0.3840909091
1.4170341443 0.0183673469 0.3852272727
1.4276936510 0.0183673469 0.3863636364
1.4306629888 0.0183673469 0.3875000000
1.4390342784 0.0183673469 0.3886363636
1.4439399064 0.0183673469 0.3897727273
1.4571921260 0.0183673469 0.3909090909
1.4615736371 0.0183673469 0.3920454545
1.4646603018 0.0183673469 0.3931818182
1.4672054406 0.0183673469 0.3943181818
1.4844798704 0.0183673469 0.3954545455
1.4899831968 0.0183673469 0.3965909091
1.4909528111 0.0183673469 0.3977272727
1.5114294301 0.0183673469 0.3988636364
1.5229256735 0.0183673469 0.4000000000
1.5234988467 0.0183673469 0.4011363636
1.5284006664 0.0183673469 0.4022727273
