T P_and P_or
41.100000 0.657028 0.769968
41.200000 0.655418 0.771583
41.300000 0.653833 0.773189
41.400000 0.652273 0.774785
41.500000 0.650740 0.776371
41.600000 0.649232 0.777947
41.700000 0.647750 0.779513
41.800000 0.646295 0.781070
41.900000 0.644864 0.782617
42.000000 0.643460 0.784154
42.100000 0.642082 0.785682
42.200000 0.640730 0.787200
42.300000 0.639404 0.788708
42.400000 0.638105 0.790206
42.500000 0.636831 0.791695
42.600000 0.635583 0.793174
42.700000 0.634362 0.794643
42.800000 0.633167 0.796103
42.900000 0.631998 0.797553
43.000000 0.630855 0.798993
43.100000 0.629739 0.800424
43.200000 0.628649 0.801845
43.300000 0.627586 0.803257
43.400000 0.626549 0.804658
43.500000 0.625538 0.806051
43.600000 0.624554 0.807433
43.700000 0.623597 0.808806
43.800000 0.622666 0.810170
43.900000 0.621762 0.811524
44.000000 0.620884 0.812868
44.100000 0.620033 0.814202
44.200000 0.619208 0.815524
44.300000 0.618409 0.816832
44.400000 0.617635 0.818120
44.500000 0.616884 0.819375
44.600000 0.616153 0.820579
44.700000 0.615437 0.821704
44.800000 0.614729 0.822719
44.900000 0.614023 0.823590
45.000000 0.613312 0.824295
45.100000 0.612590 0.824825
45.200000 0.611856 0.825191
45.300000 0.611109 0.825419
45.400000 0.610350 0.825542
45.500000 0.609582 0.825594
45.600000 0.608806 0.825603
45.700000 0.608026 0.825589
45.800000 0.607240 0.825564
45.900000 0.606452 0.825534
46.000000 0.605659 0.825501
46.100000 0.604864 0.825468
46.200000 0.604066 0.825434
46.300000 0.603264 0.825401
46.400000 0.602459 0.825367
46.500000 0.601651 0.825333
46.600000 0.600839 0.825299
46.700000 0.600025 0.825264
46.800000 0.599207 0.825230
46.900000 0.598387 0.825195
47.000000 0.597563 0.825161
47.100000 0.596736 0.825126
47.200000 0.595905 0.825091
47.300000 0.595072 0.825056
47.400000 0.594235 0.825020
47.500000 0.593396 0.824985
47.600000 0.592553 0.824950
47.700000 0.591706 0.824914
