T FAR FRR
46.350000 0.000000 0.780053
46.450000 0.000000 0.781119
46.550000 0.000000 0.782187
46.650000 0.000000 0.783258
46.750000 0.000000 0.784335
46.850000 0.000000 0.785419
46.950000 0.000000 0.786511
47.050000 0.000000 0.787611
47.150000 0.000000 0.788719
47.250000 0.000000 0.789836
47.350000 0.000000 0.790960
47.450000 0.000000 0.792093
47.550000 0.000000 0.793234
47.650000 0.000000 0.794384
47.750000 0.000000 0.795542
47.850000 0.000000 0.796708
47.950000 0.000000 0.797882
48.050000 0.000000 0.799065
48.150000 0.000000 0.800256
48.250000 0.000000 0.801455
48.350000 0.000000 0.802663
48.450000 0.000000 0.803880
48.550000 0.000000 0.805106
48.650000 0.000000 0.806342
48.750000 0.000000 0.807588
48.850000 0.000000 0.808846
48.950000 0.000000 0.810115
49.050000 0.000000 0.811396
49.150000 0.000000 0.812690
49.250000 0.000000 0.813997
49.350000 0.000000 0.815317
49.450000 0.000000 0.816650
49.550000 0.000000 0.817996
49.650000 0.000000 0.819356
49.750000 0.000000 0.820729
49.850000 0.000000 0.822115
49.950000 0.000000 0.823514
50.050000 0.000000 0.824926
50.150000 0.000000 0.826352
50.250000 0.000000 0.827791
50.350000 0.000000 0.829243
50.450000 0.000000 0.830708
50.550000 0.000000 0.832187
50.650000 0.000000 0.833677
50.750000 0.000000 0.835180
50.850000 0.000000 0.836692
50.950000 0.000000 0.838211
51.050000 0.000000 0.839734
51.150000 0.000000 0.841255
51.250000 0.000000 0.842767
51.350000 0.000000 0.844265
51.450000 0.000000 0.845741
51.550000 0.000000 0.847191
51.650000 0.000000 0.848611
51.750000 0.000000 0.849997
51.850000 0.000000 0.851349
51.950000 0.000000 0.852665
52.050000 0.000000 0.853945
52.150000 0.000000 0.855189
52.250000 0.000000 0.856396
52.350000 0.000000 0.857567
52.450000 0.000000 0.858702
52.550000 0.000000 0.859800
52.650000 0.000000 0.860862
52.750000 0.000000 0.861887
52.850000 0.000000 0.862876
52.950000 0.000000 0.863829
53.050000 0.000000 0.864746
53.150000 0.000000 0.865627
53.250000 0.000000 0.866473
53.350000 0.000000 0.867286
53.450000 0.000000 0.868069
53.550000 0.000000 0.868826
53.650000 0.000000 0.869561
53.750000 0.000000 0.870281
53.850000 0.000000 0.870993
53.950000 0.000000 0.871704
54.050000 0.000000 0.872417
54.150000 0.000000 0.873137
54.250000 0.000000 0.873868
54.350000 0.000000 0.874610
54.450000 0.000000 0.875365
54.550000 0.000000 0.876132
54.650000 0.000000 0.876913
54.750000 0.000000 0.877707
54.850000 0.000000 0.878514
54.950000 0.000000 0.879335
55.050000 0.000000 0.880168
55.150000 0.000000 0.881015
55.250000 0.000000 0.881875
55.350000 0.000000 0.882748
55.450000 0.000000 0.883635
55.550000 0.000000 0.884534
55.650000 0.000000 0.885446
55.750000 0.000000 0.886370
55.850000 0.000000 0.887305
55.950000 0.000000 0.888248
56.050000 0.000000 0.889196
56.150000 0.000000 0.890145
56.250000 0.000000 0.891090
56.350000 0.000000 0.892026
56.450000 0.000000 0.892948
56.550000 0.000000 0.893852
56.650000 0.000000 0.894733
56.750000 0.000000 0.895591
56.850000 0.000000 0.896424
56.950000 0.000000 0.897230
57.050000 0.000000 0.898011
57.150000 0.000000 0.898765
57.250000 0.000000 0.899493
57.350000 0.000000 0.900194
57.450000 0.000000 0.900869
57.550000 0.000000 0.901517
57.650000 0.000000 0.902139
57.750000 0.000000 0.902735
57.850000 0.000000 0.903304
57.950000 0.000000 0.903846
58.050000 0.000000 0.904363
58.150000 0.000000 0.904854
58.250000 0.000000 0.905320
58.350000 0.000000 0.905763
58.450000 0.000000 0.906186
58.550000 0.000000 0.906593
58.650000 0.000000 0.906990
58.750000 0.000000 0.907384
58.850000 0.000000 0.907781
58.950000 0.000000 0.908188
59.050000 0.000000 0.908611
59.150000 0.000000 0.909054
59.250000 0.000000 0.909520
59.350000 0.000000 0.910011
59.450000 0.000000 0.910528
59.550000 0.000000 0.911070
59.650000 0.000000 0.911639
59.750000 0.000000 0.912235
59.850000 0.000000 0.912857
59.950000 0.000000 0.913505
60.050000 0.000000 0.914180
60.150000 0.000000 0.914881
60.250000 0.000000 0.915609
60.350000 0.000000 0.916363
60.450000 0.000000 0.917143
60.550000 0.000000 0.917950
60.650000 0.000000 0.918782
60.750000 0.000000 0.919640
60.850000 0.000000 0.920520
60.950000 0.000000 0.921421
61.050000 0.000000 0.922338
61.150000 0.000000 0.923267
61.250000 0.000000 0.924201
61.350000 0.000000 0.925132
61.450000 0.000000 0.926056
61.550000 0.000000 0.926967
61.650000 0.000000 0.927861
61.750000 0.000000 0.928735
61.850000 0.000000 0.929587
61.950000 0.000000 0.930417
62.050000 0.000000 0.931224
62.150000 0.000000 0.932008
62.250000 0.000000 0.932768
62.350000 0.000000 0.933506
62.450000 0.000000 0.934221
62.550000 0.000000 0.934912
62.650000 0.000000 0.935580
62.750000 0.000000 0.936225
62.850000 0.000000 0.936847
62.950000 0.000000 0.937446
63.050000 0.000000 0.938022
63.150000 0.000000 0.938575
63.250000 0.000000 0.939106
