s PU PA FAR FRR Ps
0.540541 0.000000 0.000000 1.000000 0.000000 0.000000
0.545546 0.000000 0.000000 1.000000 0.000000 0.000000
0.550551 0.000000 0.000000 1.000000 0.000000 0.000000
0.555556 0.000000 0.000000 1.000000 0.000000 0.000000
0.560561 0.000000 0.000000 1.000000 0.000000 0.000000
0.565566 0.000000 0.000000 1.000000 0.000000 0.000000
0.570571 0.000000 0.000000 1.000000 0.000000 0.000000
0.575576 0.000000 0.000000 1.000000 0.000000 0.000000
0.580581 0.000000 0.000000 1.000000 0.000000 0.000000
0.585586 0.000000 0.000000 1.000000 0.000000 0.000000
0.590591 0.000000 0.000000 1.000000 0.000000 0.000000
0.595596 0.000000 0.000000 1.000000 0.000000 0.000000
0.600601 0.000000 0.000428 0.999998 0.000000 0.000002
0.605606 0.000000 0.003992 0.999978 0.000000 0.000022
0.610611 0.000000 0.007542 0.999940 0.000000 0.000060
0.615616 0.000000 0.011081 0.999885 0.000000 0.000115
0.620621 0.000000 0.014607 0.999812 0.000000 0.000188
0.625626 0.000000 0.018121 0.999721 0.000000 0.000279
0.630631 0.000000 0.021622 0.999613 0.000000 0.000387
0.635636 0.000000 0.025111 0.999487 0.000000 0.000513
0.640641 0.000000 0.028588 0.999344 0.000000 0.000656
0.645646 0.000000 0.032053 0.999183 0.000000 0.000817
0.650651 0.000000 0.035505 0.999006 0.000000 0.000994
0.655656 0.000000 0.038945 0.998811 0.000000 0.001189
0.660661 0.000000 0.042372 0.998599 0.000000 0.001401
0.665666 0.000000 0.045787 0.998370 0.000000 0.001630
0.670671 0.000000 0.049190 0.998123 0.000000 0.001877
0.675676 0.000000 0.052581 0.997860 0.000000 0.002140
0.680681 0.000000 0.055959 0.997580 0.000000 0.002420
0.685686 0.000000 0.059325 0.997283 0.000000 0.002717
0.690691 0.000000 0.062679 0.996970 0.000000 0.003030
0.695696 0.000000 0.066020 0.996639 0.000000 0.003361
0.700701 0.000000 0.069349 0.996292 0.000000 0.003708
0.705706 0.000000 0.072665 0.995928 0.000000 0.004072
0.710711 0.000000 0.075970 0.995548 0.000000 0.004452
0.715716 0.000000 0.079262 0.995151 0.000000 0.004849
0.720721 0.000000 0.082541 0.994738 0.000000 0.005262
0.725726 0.000000 0.085809 0.994309 0.000000 0.005691
0.730731 0.000000 0.089064 0.993863 0.000000 0.006137
0.735736 0.000000 0.092306 0.993401 0.000000 0.006599
0.740741 0.000000 0.095537 0.992923 0.000000 0.007077
0.745746 0.000000 0.098755 0.992429 0.000000 0.007571
0.750751 0.000000 0.101960 0.991918 0.000000 0.008082
0.755756 0.000000 0.105154 0.991392 0.000000 0.008608
0.760761 0.000000 0.108335 0.990850 0.000000 0.009150
0.765766 0.000000 0.111503 0.990292 0.000000 0.009708
0.770771 0.000000 0.114660 0.989718 0.000000 0.010282
