s PU PA FAR FRR Ps
2.4449 0.0000 0.6477 0.4350 0.0000 0.5650
2.4549 0.0000 0.6467 0.4285 0.0000 0.5715
2.4649 0.0000 0.6457 0.4221 0.0000 0.5779
2.4749 0.0000 0.6445 0.4156 0.0000 0.5844
2.4850 0.0000 0.6432 0.4092 0.0000 0.5908
2.4950 0.0000 0.6418 0.4027 0.0000 0.5973
2.5050 0.0000 0.6403 0.3963 0.0000 0.6037
2.5150 0.0000 0.6387 0.3899 0.0000 0.6101
2.5251 0.0000 0.6371 0.3835 0.0000 0.6165
2.5351 0.0000 0.6353 0.3772 0.0000 0.6228
2.5451 0.0000 0.6334 0.3708 0.0000 0.6292
2.5551 0.0000 0.6314 0.3645 0.0000 0.6355
2.5651 0.0000 0.6294 0.3582 0.0000 0.6418
2.5752 0.0000 0.6272 0.3519 0.0000 0.6481
2.5852 0.0000 0.6249 0.3456 0.0000 0.6544
2.5952 0.0000 0.6225 0.3394 0.0000 0.6606
2.6052 0.0000 0.6201 0.3332 0.0000 0.6668
2.6152 0.0000 0.6175 0.3270 0.0000 0.6730
2.6253 0.0000 0.6148 0.3208 0.0000 0.6792
2.6353 0.0000 0.6120 0.3147 0.0000 0.6853
2.6453 0.0000 0.6092 0.3086 0.0000 0.6914
2.6553 0.0000 0.6062 0.3025 0.0000 0.6975
2.6653 0.0000 0.6031 0.2965 0.0000 0.7035
2.6754 0.0000 0.6000 0.2905 0.0000 0.7095
2.6854 0.0000 0.5967 0.2845 0.0000 0.7155
2.6954 0.0000 0.5933 0.2785 0.0000 0.7215
2.7054 0.0000 0.5899 0.2726 0.0000 0.7274
2.7154 0.0000 0.5863 0.2668 0.0000 0.7332
2.7255 0.0000 0.5827 0.2609 0.0000 0.7391
2.7355 0.0000 0.5789 0.2551 0.0000 0.7449
2.7455 0.0000 0.5750 0.2494 0.0000 0.7506
2.7555 0.0000 0.5711 0.2436 0.0000 0.7564
2.7655 0.0000 0.5670 0.2380 0.0000 0.7620
2.7756 0.0000 0.5629 0.2323 0.0000 0.7677
2.7856 0.0000 0.5586 0.2267 0.0000 0.7733
2.7956 0.0000 0.5543 0.2212 0.0000 0.7788
2.8056 0.0000 0.5498 0.2157 0.0000 0.7843
2.8156 0.0000 0.5453 0.2102 0.0000 0.7898
2.8257 0.0000 0.5406 0.2048 0.0000 0.7952
2.8357 0.0000 0.5359 0.1994 0.0000 0.8006
2.8457 0.0000 0.5310 0.1941 0.0000 0.8059
2.8557 0.0000 0.5261 0.1888 0.0000 0.8112
2.8657 0.0000 0.5210 0.1836 0.0000 0.8164
2.8758 0.0000 0.5159 0.1784 0.0000 0.8216
2.8858 0.0000 0.5106 0.1733 0.0000 0.8267
2.8958 0.0000 0.5053 0.1682 0.0000 0.8318
2.9058 0.0000 0.4998 0.1632 0.0000 0.8368
2.9158 0.0000 0.4943 0.1583 0.0000 0.8417
2.9259 0.0000 0.4886 0.1534 0.0000 0.8466
2.9359 0.0000 0.4829 0.1486 0.0000 0.8514
2.9459 0.0000 0.4771 0.1438 0.0000 0.8562
2.9559 0.0000 0.4711 0.1391 0.0000 0.8609
2.9659 0.0000 0.4651 0.1344 0.0000 0.8656
2.9760 0.0000 0.4590 0.1298 0.0000 0.8702
2.9860 0.0000 0.4527 0.1253 0.0000 0.8747
2.9960 0.0000 0.4464 0.1208 0.0000 0.8792
3.0060 0.0359 0.4400 0.1164 0.0004 0.8833
3.0160 0.0947 0.4334 0.1120 0.0013 0.8868
3.0261 0.1522 0.4268 0.1078 0.0028 0.8897
3.0361 0.2086 0.4201 0.1035 0.0049 0.8920
3.0461 0.2638 0.4132 0.0994 0.0076 0.8938
3.0561 0.3178 0.4063 0.0953 0.0108 0.8949
3.0661 0.3706 0.3993 0.0913 0.0145 0.8955
3.0762 0.4221 0.3921 0.0874 0.0187 0.8955
3.0862 0.4725 0.3849 0.0835 0.0234 0.8950
3.0962 0.5216 0.3776 0.0798 0.0287 0.8939
3.1062 0.5696 0.3702 0.0761 0.0344 0.8922
3.1162 0.6163 0.3626 0.0724 0.0405 0.8900
3.1263 0.6619 0.3550 0.0689 0.0472 0.8872
3.1363 0.7062 0.3473 0.0654 0.0542 0.8839
3.1463 0.7493 0.3395 0.0620 0.0618 0.8801
3.1563 0.7913 0.3316 0.0587 0.0697 0.8757
3.1663 0.8320 0.3235 0.0554 0.0780 0.8709
3.1764 0.8715 0.3154 0.0523 0.0868 0.8655
3.1864 0.9098 0.3072 0.0492 0.0959 0.8597
3.1964 0.9469 0.2989 0.0462 0.1054 0.8533
3.2064 0.9828 0.2905 0.0433 0.1152 0.8465
3.2164 1.0175 0.2820 0.0404 0.1254 0.8392
3.2265 1.0510 0.2734 0.0377 0.1359 0.8315
3.2365 1.0833 0.2646 0.0351 0.1468 0.8233
3.2465 1.1144 0.2558 0.0325 0.1580 0.8147
3.2565 1.1443 0.2469 0.0300 0.1694 0.8056
3.2665 1.1730 0.2379 0.0276 0.1812 0.7962
3.2766 1.2004 0.2288 0.0253 0.1932 0.7864
3.2866 1.2267 0.2196 0.0231 0.2055 0.7761
3.2966 1.2518 0.2103 0.0210 0.2180 0.7655
3.3066 1.2756 0.2009 0.0190 0.2308 0.7546
3.3166 1.2983 0.1914 0.0171 0.2438 0.7432
3.3267 1.3197 0.1818 0.0153 0.2570 0.7316
3.3367 1.3399 0.1721 0.0136 0.2705 0.7196
3.3467 1.3590 0.1623 0.0119 0.2841 0.7074
3.3567 1.3768 0.1524 0.0104 0.2979 0.6948
3.3667 1.3934 0.1424 0.0090 0.3118 0.6820
3.3768 1.4089 0.1323 0.0077 0.3260 0.6689
3.3868 1.4231 0.1221 0.0064 0.3402 0.6555
3.3968 1.4361 0.1118 0.0053 0.3546 0.6420
3.4068 1.4479 0.1014 0.0043 0.3691 0.6282
3.4168 1.4585 0.0909 0.0034 0.3837 0.6142
3.4269 1.4679 0.0803 0.0026 0.3984 0.6000
3.4369 1.4761 0.0696 0.0019 0.4132 0.5857
3.4469 1.4831 0.0588 0.0013 0.4281 0.5712
3.4569 1.4889 0.0480 0.0008 0.4430 0.5565
3.4669 1.4934 0.0370 0.0004 0.4580 0.5418
3.4770 1.4968 0.0259 0.0002 0.4730 0.5269
3.4870 1.4990 0.0147 0.0000 0.4880 0.5120
3.4970 1.4999 0.0034 0.0000 0.5030 0.4970
3.5070 1.4997 0.0000 0.0000 0.5180 0.4820
3.5170 1.4983 0.0000 0.0000 0.5331 0.4669
3.5271 1.4956 0.0000 0.0000 0.5480 0.4520
3.5371 1.4918 0.0000 0.0000 0.5630 0.4370
3.5471 1.4867 0.0000 0.0000 0.5779 0.4221
3.5571 1.4804 0.0000 0.0000 0.5927 0.4073
3.5671 1.4730 0.0000 0.0000 0.6075 0.3925
3.5772 1.4643 0.0000 0.0000 0.6222 0.3778
3.5872 1.4544 0.0000 0.0000 0.6367 0.3633
3.5972 1.4433 0.0000 0.0000 0.6512 0.3488
3.6072 1.4310 0.0000 0.0000 0.6655 0.3345
3.6172 1.4175 0.0000 0.0000 0.6797 0.3203
