s PU1 PA1 PU2 PA2
-0.4611 0.0000 0.0000 0.0000 0.0000
-0.4596 0.0000 0.0000 0.0000 0.0000
-0.4580 0.0000 0.0000 0.0000 0.0000
-0.4565 0.0000 0.0000 0.0000 0.0000
-0.4549 0.0000 0.0000 0.0000 0.0000
-0.4534 0.0000 0.0000 0.0000 0.0000
-0.4518 0.0000 0.0000 0.0000 0.0000
-0.4503 0.0000 0.0000 0.0000 0.0000
-0.4487 0.0000 0.0000 0.0000 0.0000
-0.4472 0.0000 0.0000 0.0000 0.0000
-0.4456 0.0000 0.0000 0.0000 0.0000
-0.4441 0.0000 0.0000 0.0000 0.0000
-0.4425 0.0000 0.0000 0.0000 0.0000
-0.4410 0.0000 0.0000 0.0000 0.0000
-0.4394 0.0000 0.0000 0.0000 0.0000
-0.4379 0.0000 0.0000 0.0000 0.0000
-0.4363 0.0000 0.0000 0.0000 0.0000
-0.4348 0.0000 0.0000 0.0000 0.0000
-0.4332 0.0000 0.0000 0.0000 0.0000
-0.4317 0.0000 0.0000 0.0000 0.0001
-0.4301 0.0000 0.0000 0.0000 0.0001
-0.4286 0.0000 0.0000 0.0000 0.0001
-0.4270 0.0000 0.0000 0.0000 0.0001
-0.4255 0.0000 0.0000 0.0000 0.0001
-0.4239 0.0000 0.0000 0.0000 0.0001
-0.4224 0.0000 0.0000 0.0000 0.0001
-0.4208 0.0000 0.0000 0.0000 0.0001
-0.4193 0.0000 0.0000 0.0000 0.0001
-0.4177 0.0000 0.0000 0.0000 0.0001
-0.4162 0.0000 0.0000 0.0000 0.0001
-0.4146 0.0000 0.0000 0.0000 0.0001
-0.4131 0.0000 0.0000 0.0000 0.0001
-0.4115 0.0000 0.0000 0.0000 0.0001
-0.4100 0.0000 0.0000 0.0000 0.0001
-0.4084 0.0000 0.0000 0.0000 0.0001
-0.4069 0.0000 0.0000 0.0000 0.0001
-0.4053 0.0000 0.0000 0.0000 0.0001
-0.4038 0.0000 0.0000 0.0000 0.0001
-0.4022 0.0000 0.0000 0.0000 0.0001
-0.4007 0.0000 0.0000 0.0000 0.0001
-0.3991 0.0000 0.0001 0.0000 0.0001
-0.3975 0.0000 0.0001 0.0000 0.0001
-0.3960 0.0000 0.0001 0.0000 0.0001
-0.3944 0.0000 0.0001 0.0000 0.0001
-0.3929 0.0000 0.0001 0.0000 0.0001
-0.3913 0.0000 0.0001 0.0000 0.0001
-0.3898 0.0000 0.0001 0.0000 0.0001
-0.3882 0.0000 0.0001 0.0000 0.0002
-0.3867 0.0000 0.0001 0.0000 0.0002
-0.3851 0.0000 0.0001 0.0000 0.0002
-0.3836 0.0000 0.0001 0.0000 0.0002
-0.3820 0.0000 0.0001 0.0000 0.0002
-0.3805 0.0000 0.0001 0.0000 0.0002
-0.3789 0.0000 0.0001 0.0000 0.0002
-0.3774 0.0000 0.0001 0.0000 0.0002
-0.3758 0.0000 0.0001 0.0000 0.0002
-0.3743 0.0000 0.0001 0.0000 0.0002
-0.3727 0.0000 0.0001 0.0000 0.0002
-0.3712 0.0000 0.0001 0.0000 0.0002
-0.3696 0.0000 0.0001 0.0000 0.0002
-0.3681 0.0000 0.0001 0.0000 0.0002
-0.3665 0.0000 0.0001 0.0000 0.0003
-0.3650 0.0000 0.0001 0.0000 0.0003
-0.3634 0.0000 0.0002 0.0000 0.0003
-0.3619 0.0000 0.0002 0.0000 0.0003
-0.3603 0.0000 0.0002 0.0000 0.0003
-0.3588 0.0000 0.0002 0.0000 0.0003
-0.3572 0.0000 0.0002 0.0000 0.0003
-0.3557 0.0000 0.0002 0.0000 0.0003
-0.3541 0.0000 0.0002 0.0000 0.0003
-0.3526 0.0000 0.0002 0.0000 0.0004
-0.3510 0.0000 0.0002 0.0000 0.0004
-0.3495 0.0000 0.0002 0.0000 0.0004
-0.3479 0.0000 0.0002 0.0000 0.0004
-0.3464 0.0000 0.0002 0.0000 0.0004
-0.3448 0.0000 0.0003 0.0000 0.0004
-0.3433 0.0000 0.0003 0.0000 0.0004
-0.3417 0.0000 0.0003 0.0000 0.0005
-0.3402 0.0000 0.0003 0.0000 0.0005
-0.3386 0.0000 0.0003 0.0000 0.0005
-0.3371 0.0000 0.0003 0.0000 0.0005
-0.3355 0.0000 0.0003 0.0000 0.0005
-0.3340 0.0000 0.0004 0.0000 0.0005
-0.3324 0.0000 0.0004 0.0000 0.0006
-0.3309 0.0000 0.0004 0.0000 0.0006
-0.3293 0.0000 0.0004 0.0000 0.0006
-0.3278 0.0000 0.0004 0.0000 0.0006
-0.3262 0.0000 0.0004 0.0000 0.0006
-0.3247 0.0000 0.0005 0.0000 0.0007
-0.3231 0.0000 0.0005 0.0000 0.0007
-0.3216 0.0000 0.0005 0.0000 0.0007
-0.3200 0.0000 0.0005 0.0000 0.0007
-0.3185 0.0000 0.0005 0.0000 0.0008
-0.3169 0.0000 0.0006 0.0000 0.0008
-0.3154 0.0000 0.0006 0.0000 0.0008
-0.3138 0.0000 0.0006 0.0000 0.0009
-0.3123 0.0000 0.0006 0.0000 0.0009
-0.3107 0.0000 0.0007 0.0000 0.0009
-0.3092 0.0000 0.0007 0.0000 0.0009
-0.3076 0.0000 0.0007 0.0000 0.0010
-0.3061 0.0000 0.0008 0.0000 0.0010
-0.3045 0.0000 0.0008 0.0000 0.0010
-0.3030 0.0000 0.0008 0.0000 0.0011
-0.3014 0.0000 0.0009 0.0000 0.0011
-0.2998 0.0000 0.0009 0.0000 0.0012
-0.2983 0.0000 0.0009 0.0000 0.0012
-0.2967 0.0000 0.0010 0.0000 0.0012
-0.2952 0.0000 0.0010 0.0000 0.0013
-0.2936 0.0000 0.0011 0.0000 0.0013
-0.2921 0.0000 0.0011 0.0000 0.0014
-0.2905 0.0000 0.0011 0.0000 0.0014
-0.2890 0.0000 0.0012 0.0000 0.0015
-0.2874 0.0000 0.0012 0.0000 0.0015
-0.2859 0.0000 0.0013 0.0000 0.0016
-0.2843 0.0000 0.0013 0.0000 0.0016
-0.2828 0.0000 0.0014 0.0000 0.0017
-0.2812 0.0000 0.0015 0.0000 0.0017
-0.2797 0.0000 0.0015 0.0000 0.0018
