T1 FAR1 FRR1 T2 FAR2 FRR2
-0.47458729 0.99999988 0.00000000 -0.63641821 1.00000000 0.00000000
-0.47343672 0.99999987 0.00000000 -0.63491746 1.00000000 0.00000000
-0.47228614 0.99999987 0.00000000 -0.63341671 1.00000000 0.00000000
-0.47113557 0.99999986 0.00000000 -0.63191596 1.00000000 0.00000000
-0.46998499 0.99999986 0.00000000 -0.63041521 0.99999999 0.00000000
-0.46883442 0.99999985 0.00000000 -0.62891446 0.99999999 0.00000000
-0.46768384 0.99999985 0.00000000 -0.62741371 0.99999999 0.00000000
-0.46653327 0.99999984 0.00000000 -0.62591296 0.99999999 0.00000000
-0.46538269 0.99999983 0.00000000 -0.62441221 0.99999999 0.00000000
-0.46423212 0.99999983 0.00000000 -0.62291146 0.99999999 0.00000000
-0.46308154 0.99999982 0.00000000 -0.62141071 0.99999999 0.00000000
-0.46193097 0.99999981 0.00000000 -0.61990995 0.99999999 0.00000000
-0.46078039 0.99999980 0.00000000 -0.61840920 0.99999999 0.00000000
-0.45962981 0.99999979 0.00000000 -0.61690845 0.99999999 0.00000000
-0.45847924 0.99999979 0.00000000 -0.61540770 0.99999999 0.00000000
-0.45732866 0.99999978 0.00000000 -0.61390695 0.99999999 0.00000000
-0.45617809 0.99999977 0.00000000 -0.61240620 0.99999999 0.00000000
-0.45502751 0.99999976 0.00000000 -0.61090545 0.99999999 0.00000000
-0.45387694 0.99999975 0.00000000 -0.60940470 0.99999999 0.00000000
-0.45272636 0.99999974 0.00000000 -0.60790395 0.99999999 0.00000000
-0.45157579 0.99999973 0.00000000 -0.60640320 0.99999999 0.00000000
-0.45042521 0.99999972 0.00000000 -0.60490245 0.99999999 0.00000000
-0.44927464 0.99999971 0.00000000 -0.60340170 0.99999999 0.00000000
-0.44812406 0.99999969 0.00000000 -0.60190095 0.99999999 0.00000000
-0.44697349 0.99999968 0.00000000 -0.60040020 0.99999999 0.00000000
-0.44582291 0.99999967 0.00000000 -0.59889945 0.99999999 0.00000000
-0.44467234 0.99999966 0.00000000 -0.59739870 0.99999998 0.00000000
-0.44352176 0.99999964 0.00000000 -0.59589795 0.99999998 0.00000000
-0.44237119 0.99999963 0.00000000 -0.59439720 0.99999998 0.00000000
-0.44122061 0.99999961 0.00000000 -0.59289645 0.99999998 0.00000000
-0.44007004 0.99999960 0.00000000 -0.59139570 0.99999998 0.00000000
-0.43891946 0.99999958 0.00000000 -0.58989495 0.99999998 0.00000000
-0.43776888 0.99999956 0.00000000 -0.58839420 0.99999998 0.00000000
-0.43661831 0.99999955 0.00000000 -0.58689345 0.99999998 0.00000000
-0.43546773 0.99999953 0.00000000 -0.58539270 0.99999998 0.00000000
-0.43431716 0.99999951 0.00000000 -0.58389195 0.99999998 0.00000000
-0.43316658 0.99999949 0.00000000 -0.58239120 0.99999998 0.00000000
-0.43201601 0.99999947 0.00000000 -0.58089045 0.99999997 0.00000000
-0.43086543 0.99999945 0.00000000 -0.57938969 0.99999997 0.00000000
-0.42971486 0.99999943 0.00000000 -0.57788894 0.99999997 0.00000000
-0.42856428 0.99999940 0.00000000 -0.57638819 0.99999997 0.00000000
-0.42741371 0.99999938 0.00000000 -0.57488744 0.99999997 0.00000000
-0.42626313 0.99999936 0.00000000 -0.57338669 0.99999997 0.00000000
-0.42511256 0.99999933 0.00000000 -0.57188594 0.99999997 0.00000000
-0.42396198 0.99999930 0.00000000 -0.57038519 0.99999996 0.00000000
-0.42281141 0.99999928 0.00000000 -0.56888444 0.99999996 0.00000000
-0.42166083 0.99999925 0.00000000 -0.56738369 0.99999996 0.00000000
-0.42051026 0.99999922 0.00000000 -0.56588294 0.99999996 0.00000000
-0.41935968 0.99999919 0.00000000 -0.56438219 0.99999996 0.00000000
-0.41820910 0.99999916 0.00000000 -0.56288144 0.99999996 0.00000000
-0.41705853 0.99999913 0.00000000 -0.56138069 0.99999995 0.00000000
-0.41590795 0.99999909 0.00000000 -0.55987994 0.99999995 0.00000000
-0.41475738 0.99999906 0.00000000 -0.55837919 0.99999995 0.00000000
-0.41360680 0.99999902 0.00000000 -0.55687844 0.99999995 0.00000000
-0.41245623 0.99999898 0.00000000 -0.55537769 0.99999994 0.00000000
-0.41130565 0.99999894 0.00000000 -0.55387694 0.99999994 0.00000000
-0.41015508 0.99999890 0.00000000 -0.55237619 0.99999994 0.00000000
-0.40900450 0.99999886 0.00000000 -0.55087544 0.99999994 0.00000000
-0.40785393 0.99999882 0.00000000 -0.54937469 0.99999993 0.00000000
-0.40670335 0.99999877 0.00000000 -0.54787394 0.99999993 0.00000000
-0.40555278 0.99999872 0.00000000 -0.54637319 0.99999993 0.00000000
-0.40440220 0.99999867 0.00000000 -0.54487244 0.99999992 0.00000000
-0.40325163 0.99999862 0.00000000 -0.54337169 0.99999992 0.00000000
-0.40210105 0.99999857 0.00000000 -0.54187094 0.99999992 0.00000000
-0.40095048 0.99999852 0.00000000 -0.54037019 0.99999991 0.00000000
-0.39979990 0.99999846 0.00000000 -0.53886943 0.99999991 0.00000000
-0.39864932 0.99999840 0.00000000 -0.53736868 0.99999990 0.00000000
-0.39749875 0.99999834 0.00000000 -0.53586793 0.99999990 0.00000000
-0.39634817 0.99999828 0.00000000 -0.53436718 0.99999990 0.00000000
-0.39519760 0.99999821 0.00000000 -0.53286643 0.99999989 0.00000000
-0.39404702 0.99999814 0.00000000 -0.53136568 0.99999989 0.00000000
-0.39289645 0.99999807 0.00000000 -0.52986493 0.99999988 0.00000000
-0.39174587 0.99999800 0.00000000 -0.52836418 0.99999987 0.00000000
-0.39059530 0.99999793 0.00000000 -0.52686343 0.99999987 0.00000000
-0.38944472 0.99999785 0.00000000 -0.52536268 0.99999986 0.00000000
-0.38829415 0.99999777 0.00000000 -0.52386193 0.99999986 0.00000000
-0.38714357 0.99999769 0.00000000 -0.52236118 0.99999985 0.00000000
-0.38599300 0.99999760 0.00000000 -0.52086043 0.99999984 0.00000000
-0.38484242 0.99999751 0.00000000 -0.51935968 0.99999984 0.00000000
-0.38369185 0.99999742 0.00000000 -0.51785893 0.99999983 0.00000000
-0.38254127 0.99999732 0.00000000 -0.51635818 0.99999982 0.00000000
-0.38139070 0.99999722 0.00000000 -0.51485743 0.99999981 0.00000000
-0.38024012 0.99999712 0.00000000 -0.51335668 0.99999981 0.00000000
-0.37908954 0.99999701 0.00000000 -0.51185593 0.99999980 0.00000000
-0.37793897 0.99999690 0.00000000 -0.51035518 0.99999979 0.00000000
-0.37678839 0.99999679 0.00000000 -0.50885443 0.99999978 0.00000000
-0.37563782 0.99999667 0.00000000 -0.50735368 0.99999977 0.00000000
-0.37448724 0.99999655 0.00000000 -0.50585293 0.99999976 0.00000000
-0.37333667 0.99999642 0.00000000 -0.50435218 0.99999975 0.00000000
-0.37218609 0.99999629 0.00000000 -0.50285143 0.99999974 0.00000000
-0.37103552 0.99999615 0.00000000 -0.50135068 0.99999972 0.00000000
-0.36988494 0.99999601 0.00000000 -0.49984992 0.99999971 0.00000000
-0.36873437 0.99999587 0.00000000 -0.49834917 0.99999970 0.00000000
-0.36758379 0.99999572 0.00000000 -0.49684842 0.99999969 0.00000000
-0.36643322 0.99999556 0.00000000 -0.49534767 0.99999967 0.00000000
-0.36528264 0.99999540 0.00000000 -0.49384692 0.99999966 0.00000000
-0.36413207 0.99999523 0.00000000 -0.49234617 0.99999964 0.00000000
-0.36298149 0.99999506 0.00000000 -0.49084542 0.99999963 0.00000000
-0.36183092 0.99999488 0.00000000 -0.48934467 0.99999961 0.00000000
-0.36068034 0.99999470 0.00000000 -0.48784392 0.99999959 0.00000000
-0.35952976 0.99999451 0.00000000 -0.48634317 0.99999958 0.00000000
-0.35837919 0.99999431 0.00000000 -0.48484242 0.99999956 0.00000000
-0.35722861 0.99999411 0.00000000 -0.48334167 0.99999954 0.00000000
-0.35607804 0.99999390 0.00000000 -0.48184092 0.99999952 0.00000000
-0.35492746 0.99999368 0.00000000 -0.48034017 0.99999950 0.00000000
