x user attacker FAR FRR threshold
0.1061 0.0000 0.7802 0.0000 0.0000 0.5000
0.1071 0.0000 0.7877 0.0000 0.0000 0.5000
0.1081 0.0000 0.7952 0.0000 0.0000 0.5000
0.1091 0.0000 0.8027 0.0000 0.0000 0.5000
0.1101 0.0000 0.8103 0.0000 0.0000 0.5000
0.1111 0.0000 0.8179 0.0000 0.0000 0.5000
0.1121 0.0000 0.8256 0.0000 0.0000 0.5000
0.1131 0.0000 0.8333 0.0000 0.0000 0.5000
0.1141 0.0000 0.8410 0.0000 0.0000 0.5000
0.1151 0.0000 0.8488 0.0000 0.0000 0.5000
0.1161 0.0000 0.8566 0.0000 0.0000 0.5000
0.1171 0.0000 0.8645 0.0000 0.0000 0.5000
0.1181 0.0000 0.8724 0.0000 0.0000 0.5000
0.1191 0.0000 0.8803 0.0000 0.0000 0.5000
0.1201 0.0000 0.8883 0.0000 0.0000 0.5000
0.1211 0.0000 0.8963 0.0000 0.0000 0.5000
0.1221 0.0000 0.9043 0.0000 0.0000 0.5000
0.1231 0.0000 0.9124 0.0000 0.0000 0.5000
0.1241 0.0000 0.9205 0.0000 0.0000 0.5000
0.1251 0.0000 0.9286 0.0000 0.0000 0.5000
0.1261 0.0000 0.9368 0.0000 0.0000 0.5000
0.1271 0.0000 0.9450 0.0000 0.0000 0.5000
0.1281 0.0000 0.9533 0.0000 0.0000 0.5000
0.1291 0.0000 0.9616 0.0000 0.0000 0.5000
0.1301 0.0000 0.9699 0.0000 0.0000 0.5000
0.1311 0.0000 0.9783 0.0000 0.0000 0.5000
0.1321 0.0000 0.9867 0.0000 0.0000 0.5000
0.1331 0.0000 0.9951 0.0000 0.0000 0.5000
0.1341 0.0000 1.0035 0.0000 0.0000 0.5000
0.1351 0.0000 1.0120 0.0000 0.0000 0.5000
0.1361 0.0000 1.0205 0.0000 0.0000 0.5000
0.1371 0.0000 1.0291 0.0000 0.0000 0.5000
0.1381 0.0000 1.0377 0.0000 0.0000 0.5000
0.1391 0.0000 1.0463 0.0000 0.0000 0.5000
0.1401 0.0000 1.0549 0.0000 0.0000 0.5000
0.1411 0.0000 1.0636 0.0000 0.0000 0.5000
0.1421 0.0000 1.0723 0.0000 0.0000 0.5000
0.1431 0.0000 1.0810 0.0000 0.0000 0.5000
0.1441 0.0000 1.0898 0.0000 0.0000 0.5000
0.1451 0.0000 1.0986 0.0000 0.0000 0.5000
0.1461 0.0000 1.1074 0.0000 0.0000 0.5000
0.1471 0.0000 1.1162 0.0000 0.0000 0.5000
0.1481 0.0000 1.1251 0.0000 0.0000 0.5000
0.1491 0.0000 1.1340 0.0000 0.0000 0.5000
0.1502 0.0000 1.1429 0.0000 0.0000 0.5000
0.1512 0.0000 1.1518 0.0000 0.0000 0.5000
0.1522 0.0000 1.1608 0.0000 0.0000 0.5000
0.1532 0.0000 1.1698 0.0000 0.0000 0.5000
0.1542 0.0000 1.1788 0.0000 0.0000 0.5000
0.1552 0.0000 1.1879 0.0000 0.0000 0.5000
0.1562 0.0000 1.1969 0.0000 0.0000 0.5000
0.1572 0.0000 1.2060 0.0000 0.0000 0.5000
0.1582 0.0000 1.2151 0.0000 0.0000 0.5000
0.1592 0.0000 1.2242 0.0000 0.0000 0.5000
0.1602 0.0000 1.2334 0.0000 0.0000 0.5000
0.1612 0.0000 1.2425 0.0000 0.0000 0.5000
0.1622 0.0000 1.2517 0.0000 0.0000 0.5000
0.1632 0.0000 1.2609 0.0000 0.0000 0.5000
0.1642 0.0000 1.2701 0.0000 0.0000 0.5000
0.1652 0.0000 1.2794 0.0000 0.0000 0.5000
0.1662 0.0000 1.2886 0.0000 0.0000 0.5000
0.1672 0.0000 1.2979 0.0000 0.0000 0.5000
0.1682 0.0000 1.3072 0.0000 0.0000 0.5000
0.1692 0.0000 1.3165 0.0000 0.0000 0.5000
0.1702 0.0000 1.3258 0.0000 0.0000 0.5000
0.1712 0.0000 1.3351 0.0000 0.0000 0.5000
0.1722 0.0000 1.3445 0.0000 0.0000 0.5000
0.1732 0.0000 1.3538 0.0000 0.0000 0.5000
0.1742 0.0000 1.3632 0.0000 0.0000 0.5000
0.1752 0.0000 1.3726 0.0000 0.0000 0.5000
0.1762 0.0000 1.3820 0.0000 0.0000 0.5000
0.1772 0.0000 1.3914 0.0000 0.0000 0.5000
0.1782 0.0000 1.4008 0.0000 0.0000 0.5000
0.1792 0.0000 1.4102 0.0000 0.0000 0.5000
0.1802 0.0000 1.4196 0.0000 0.0000 0.5000
0.1812 0.0000 1.4290 0.0000 0.0000 0.5000
0.1822 0.0000 1.4385 0.0000 0.0000 0.5000
0.1832 0.0000 1.4479 0.0000 0.0000 0.5000
0.1842 0.0000 1.4574 0.0000 0.0000 0.5000
0.1852 0.0000 1.4668 0.0000 0.0000 0.5000
0.1862 0.0000 1.4763 0.0000 0.0000 0.5000
0.1872 0.0000 1.4857 0.0000 0.0000 0.5000
0.1882 0.0000 1.4952 0.0000 0.0000 0.5000
0.1892 0.0000 1.5047 0.0000 0.0000 0.5000
0.1902 0.0000 1.5141 0.0000 0.0000 0.5000
0.1912 0.0000 1.5236 0.0000 0.0000 0.5000
0.1922 0.0000 1.5330 0.0000 0.0000 0.5000
0.1932 0.0000 1.5425 0.0000 0.0000 0.5000
0.1942 0.0000 1.5520 0.0000 0.0000 0.5000
0.1952 0.0000 1.5614 0.0000 0.0000 0.5000
0.1962 0.0000 1.5709 0.0000 0.0000 0.5000
0.1972 0.0000 1.5803 0.0000 0.0000 0.5000
0.1982 0.0000 1.5897 0.0000 0.0000 0.5000
0.1992 0.0000 1.5992 0.0000 0.0000 0.5000
0.2002 0.0000 1.6086 0.0000 0.0000 0.5000
0.2012 0.0000 1.6180 0.0000 0.0000 0.5000
0.2022 0.0000 1.6274 0.0000 0.0000 0.5000
0.2032 0.0000 1.6368 0.0000 0.0000 0.5000
0.2042 0.0000 1.6462 0.0000 0.0000 0.5000
0.2052 0.0001 1.6556 0.0000 0.0001 0.5000
0.2062 0.0001 1.6650 0.0000 0.0001 0.5000
