T1 P_and_T1 P_or_T1 T2 P_and_T2 P_or_T2
-0.26403202 0.75513307 0.00008429 -0.36178089 0.91952922 0.00001140
-0.26288144 0.75513369 0.00008691 -0.36028014 0.91952925 0.00001183
-0.26173087 0.75513433 0.00008961 -0.35877939 0.91952928 0.00001228
-0.26058029 0.75513499 0.00009239 -0.35727864 0.91952932 0.00001274
-0.25942971 0.75513567 0.00009524 -0.35577789 0.91952935 0.00001322
-0.25827914 0.75513637 0.00009819 -0.35427714 0.91952939 0.00001371
-0.25712856 0.75513709 0.00010121 -0.35277639 0.91952942 0.00001423
-0.25597799 0.75513783 0.00010433 -0.35127564 0.91952946 0.00001476
-0.25482741 0.75513859 0.00010753 -0.34977489 0.91952950 0.00001531
-0.25367684 0.75513937 0.00011082 -0.34827414 0.91952954 0.00001588
-0.25252626 0.75514018 0.00011422 -0.34677339 0.91952958 0.00001647
-0.25137569 0.75514100 0.00011770 -0.34527264 0.91952963 0.00001708
-0.25022511 0.75514185 0.00012129 -0.34377189 0.91952967 0.00001771
-0.24907454 0.75514273 0.00012498 -0.34227114 0.91952972 0.00001836
-0.24792396 0.75514363 0.00012877 -0.34077039 0.91952977 0.00001904
-0.24677339 0.75514456 0.00013268 -0.33926963 0.91952982 0.00001974
-0.24562281 0.75514551 0.00013669 -0.33776888 0.91952987 0.00002046
-0.24447224 0.75514649 0.00014082 -0.33626813 0.91952992 0.00002121
-0.24332166 0.75514750 0.00014506 -0.33476738 0.91952998 0.00002199
-0.24217109 0.75514853 0.00014942 -0.33326663 0.91953004 0.00002279
-0.24102051 0.75514960 0.00015391 -0.33176588 0.91953010 0.00002362
-0.23986993 0.75515069 0.00015852 -0.33026513 0.91953016 0.00002448
-0.23871936 0.75515182 0.00016326 -0.32876438 0.91953022 0.00002537
-0.23756878 0.75515297 0.00016813 -0.32726363 0.91953029 0.00002629
-0.23641821 0.75515416 0.00017314 -0.32576288 0.91953036 0.00002724
-0.23526763 0.75515538 0.00017829 -0.32426213 0.91953043 0.00002822
-0.23411706 0.75515664 0.00018358 -0.32276138 0.91953050 0.00002924
-0.23296648 0.75515793 0.00018902 -0.32126063 0.91953057 0.00003029
-0.23181591 0.75515926 0.00019460 -0.31975988 0.91953065 0.00003138
-0.23066533 0.75516062 0.00020034 -0.31825913 0.91953073 0.00003250
-0.22951476 0.75516202 0.00020624 -0.31675838 0.91953082 0.00003366
-0.22836418 0.75516346 0.00021231 -0.31525763 0.91953090 0.00003486
-0.22721361 0.75516494 0.00021853 -0.31375688 0.91953099 0.00003611
-0.22606303 0.75516646 0.00022493 -0.31225613 0.91953108 0.00003739
-0.22491246 0.75516802 0.00023150 -0.31075538 0.91953118 0.00003871
-0.22376188 0.75516962 0.00023825 -0.30925463 0.91953128 0.00004009
-0.22261131 0.75517126 0.00024519 -0.30775388 0.91953138 0.00004150
-0.22146073 0.75517295 0.00025231 -0.30625313 0.91953148 0.00004296
-0.22031016 0.75517469 0.00025962 -0.30475238 0.91953159 0.00004448
-0.21915958 0.75517647 0.00026713 -0.30325163 0.91953171 0.00004604
-0.21800900 0.75517830 0.00027485 -0.30175088 0.91953182 0.00004765
-0.21685843 0.75518019 0.00028277 -0.30025013 0.91953194 0.00004932
-0.21570785 0.75518212 0.00029090 -0.29874937 0.91953206 0.00005104
-0.21455728 0.75518410 0.00029925 -0.29724862 0.91953219 0.00005282
-0.21340670 0.75518613 0.00030782 -0.29574787 0.91953232 0.00005466
-0.21225613 0.75518822 0.00031662 -0.29424712 0.91953246 0.00005656
-0.21110555 0.75519037 0.00032566 -0.29274637 0.91953260 0.00005852
-0.20995498 0.75519257 0.00033493 -0.29124562 0.91953275 0.00006054
-0.20880440 0.75519483 0.00034445 -0.28974487 0.91953290 0.00006263
-0.20765383 0.75519715 0.00035422 -0.28824412 0.91953305 0.00006479
-0.20650325 0.75519953 0.00036425 -0.28674337 0.91953321 0.00006701
-0.20535268 0.75520197 0.00037453 -0.28524262 0.91953338 0.00006931
-0.20420210 0.75520447 0.00038509 -0.28374187 0.91953355 0.00007169
-0.20305153 0.75520705 0.00039593 -0.28224112 0.91953372 0.00007414
-0.20190095 0.75520968 0.00040704 -0.28074037 0.91953390 0.00007667
-0.20075038 0.75521239 0.00041845 -0.27923962 0.91953409 0.00007927
-0.19959980 0.75521517 0.00043015 -0.27773887 0.91953428 0.00008197
-0.19844922 0.75521802 0.00044216 -0.27623812 0.91953448 0.00008475
-0.19729865 0.75522094 0.00045447 -0.27473737 0.91953469 0.00008761
-0.19614807 0.75522394 0.00046710 -0.27323662 0.91953490 0.00009057
-0.19499750 0.75522702 0.00048006 -0.27173587 0.91953512 0.00009362
