T P_and P_or
27.100000 0.568142 0.816840
27.200000 0.566948 0.816700
27.300000 0.565735 0.816557
27.400000 0.564499 0.816412
27.500000 0.563237 0.816263
27.600000 0.561949 0.816112
27.700000 0.560634 0.815957
27.800000 0.559291 0.815799
27.900000 0.557920 0.815638
28.000000 0.556521 0.815473
28.100000 0.555094 0.815305
28.200000 0.553640 0.815134
28.300000 0.552157 0.814960
28.400000 0.550648 0.814782
28.500000 0.549112 0.814601
28.600000 0.547552 0.814418
28.700000 0.545971 0.814232
28.800000 0.544373 0.814044
28.900000 0.542764 0.813855
29.000000 0.541152 0.813665
29.100000 0.539543 0.813476
29.200000 0.537946 0.813288
29.300000 0.536364 0.813102
29.400000 0.534804 0.812918
29.500000 0.533269 0.812738
29.600000 0.531759 0.812560
29.700000 0.530277 0.812386
29.800000 0.528822 0.812214
29.900000 0.527395 0.812047
30.000000 0.525997 0.811882
30.100000 0.524626 0.811721
30.200000 0.523283 0.811563
30.300000 0.521967 0.811408
30.400000 0.520680 0.811256
30.500000 0.519419 0.811108
30.600000 0.518185 0.810963
30.700000 0.516975 0.810821
30.800000 0.515787 0.810681
30.900000 0.514619 0.810543
31.000000 0.513467 0.810408
31.100000 0.512327 0.810274
31.200000 0.511195 0.810141
31.300000 0.510069 0.810008
31.400000 0.508946 0.809876
31.500000 0.507826 0.809744
31.600000 0.506706 0.809612
31.700000 0.505587 0.809481
31.800000 0.504467 0.809349
31.900000 0.503348 0.809217
32.000000 0.502229 0.809086
32.100000 0.501110 0.808954
32.200000 0.499991 0.808822
32.300000 0.498872 0.808691
32.400000 0.497752 0.808559
32.500000 0.496633 0.808427
32.600000 0.495514 0.808296
32.700000 0.494395 0.808164
32.800000 0.493276 0.808032
32.900000 0.492157 0.807901
33.000000 0.491038 0.807769
33.100000 0.489919 0.807637
33.200000 0.488799 0.807506
33.300000 0.487680 0.807374
33.400000 0.486561 0.807242
33.500000 0.485442 0.807111
33.600000 0.484323 0.806979
33.700000 0.483204 0.806847
33.800000 0.482085 0.806716
33.900000 0.480965 0.806584
34.000000 0.479846 0.806453
34.100000 0.478727 0.806321
34.200000 0.477608 0.806189
34.300000 0.476489 0.806058
34.400000 0.475371 0.805926
34.500000 0.474253 0.805795
34.600000 0.473138 0.805663
34.700000 0.472025 0.805532
34.800000 0.470919 0.805402
34.900000 0.469820 0.805273
35.000000 0.468734 0.805145
35.100000 0.467664 0.805019
35.200000 0.466614 0.804896
35.300000 0.465585 0.804775
35.400000 0.464581 0.804657
